session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
1pm,FALSE,1,1,1,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,1,0,1,9.571,9.594
1pm,FALSE,1,1,1,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,1,7,27.178,27.201
1pm,FALSE,1,1,2,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,35.003,6.355
1pm,FALSE,1,1,2,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,40.73,12.082
1pm,FALSE,1,1,3,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,48.938,5.089
1pm,FALSE,1,1,3,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,49.699,5.85
1pm,FALSE,1,1,4,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,59.209,6.013
1pm,FALSE,1,1,4,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,54.632,1.436
1pm,FALSE,1,1,5,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,63.907,1.283
1pm,FALSE,1,1,5,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,66.11,3.486
1pm,FALSE,1,1,6,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,70.8,1.883
1pm,FALSE,1,1,6,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,72.596,3.679
1pm,FALSE,1,1,7,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,78.059,3.171
1pm,FALSE,1,1,7,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,79.729,4.841
1pm,FALSE,1,1,8,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,85.826,5.93
1pm,FALSE,1,1,8,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,85.829,5.933
1pm,FALSE,1,1,9,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,92.122,4.361
1pm,FALSE,1,1,9,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,92.135,4.374
1pm,FALSE,1,1,10,Afom9bWqYBgZXXXN8,PvQ8B5kuA9Fbq9N59,0,0,3,97.388,4.532
1pm,FALSE,1,1,10,Afom9bWqYBgZXXXN8,PJmJgrqusFZ8KRShQ,0,0,3,94.608,1.752
1pm,TRUE,1,1,1,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,1,5,17.617,17.643
1pm,FALSE,1,1,1,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,1,5,6.463,6.489
1pm,FALSE,1,1,2,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,0,1,22.924,5.159
1pm,TRUE,1,1,2,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,0,1,7,22.236,4.471
1pm,TRUE,1,1,3,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,1,5,24.462,1.004
1pm,FALSE,1,1,3,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,1,5,29.998,6.54
1pm,FALSE,1,1,4,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,0,0,3,37.11,5.003
1pm,TRUE,1,1,4,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,0,0,3,34.048,1.941
1pm,FALSE,1,1,5,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,1,5,43.487,4.613
1pm,TRUE,1,1,5,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,1,5,43.822,4.948
1pm,TRUE,1,1,6,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,1,5,50.511,2.044
1pm,FALSE,1,1,6,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,1,5,51.936,3.469
1pm,TRUE,1,1,7,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,0,1,7,56.361,2.424
1pm,FALSE,1,1,7,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,0,1,59.972,6.035
1pm,TRUE,1,1,8,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,1,5,64.453,2.378
1pm,FALSE,1,1,8,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,1,1,5,65.274,3.199
1pm,FALSE,1,1,9,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,0,1,7,72.873,4.904
1pm,TRUE,1,1,9,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,0,1,70.37,2.401
1pm,FALSE,1,1,10,QdZM4yPMnjGj8f25R,xnAjMcWaFRpfBbukz,0,1,7,80.263,4.884
1pm,TRUE,1,1,10,QdZM4yPMnjGj8f25R,Q6knaWEruc6BDPQT7,1,0,1,80.646,5.267
1pm,FALSE,1,1,1,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,19.136,19.143
1pm,FALSE,1,1,1,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,4.821,4.828
1pm,FALSE,1,1,2,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,27.741,7.948
1pm,FALSE,1,1,2,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,22.182,2.389
1pm,FALSE,1,1,3,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,31.185,2.761
1pm,FALSE,1,1,3,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,31.243,2.819
1pm,FALSE,1,1,4,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,37.437,4.555
1pm,FALSE,1,1,4,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,35.581,2.699
1pm,FALSE,1,1,5,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,42.702,3.706
1pm,FALSE,1,1,5,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,46.394,7.398
1pm,FALSE,1,1,6,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,52.227,3.676
1pm,FALSE,1,1,6,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,49.76,1.209
1pm,FALSE,1,1,7,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,57.653,3.556
1pm,FALSE,1,1,7,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,56.194,2.097
1pm,FALSE,1,1,8,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,64.167,2.512
1pm,FALSE,1,1,8,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,63.36,1.705
1pm,FALSE,1,1,9,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,68.603,1.776
1pm,FALSE,1,1,9,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,68.286,1.459
1pm,FALSE,1,1,10,riMD6ctT8DLwdhHpE,EqbbmngPfZBEmPTzq,1,1,5,72.221,2.293
1pm,FALSE,1,1,10,riMD6ctT8DLwdhHpE,EKkrMpMqy2PRLm7ur,1,1,5,72.885,2.957
1pm,FALSE,1,1,1,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,1,0,1,17.364,17.393
1pm,FALSE,1,1,1,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,1,7,20.967,20.996
1pm,FALSE,1,1,2,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,32.606,11.256
1pm,FALSE,1,1,2,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,28.815,7.465
1pm,FALSE,1,1,3,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,1,7,36.662,2.881
1pm,FALSE,1,1,3,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,1,0,1,48.281,14.5
1pm,FALSE,1,1,4,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,59.729,7.849
1pm,FALSE,1,1,4,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,59.622,7.742
1pm,FALSE,1,1,5,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,68.112,5.786
1pm,FALSE,1,1,5,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,66.418,4.092
1pm,FALSE,1,1,6,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,72.571,3.714
1pm,FALSE,1,1,6,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,71.106,2.249
1pm,FALSE,1,1,7,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,81.002,5.03
1pm,FALSE,1,1,7,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,77.743,1.771
1pm,FALSE,1,1,8,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,1,0,1,84.888,3.148
1pm,FALSE,1,1,8,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,1,7,89.008,7.268
1pm,FALSE,1,1,9,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,93.73,2.532
1pm,FALSE,1,1,9,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,95.185,3.987
1pm,FALSE,1,1,10,hyEjkAg5K4WpubJA9,hbud2J3YvitEhj4xZ,0,0,3,96.43,1.116
1pm,FALSE,1,1,10,hyEjkAg5K4WpubJA9,7CHpY4setLKb9ssnN,0,0,3,97.054,1.74
1pm,FALSE,1,1,1,ay5pmpeNcwqHJ8JBH,tWA9ZxSnKpZyWwYsQ,1,1,5,6.733,6.748
1pm,FALSE,1,1,1,ay5pmpeNcwqHJ8JBH,2qiHdJgL4WQe5qrHQ,1,1,5,17.538,17.553
1pm,FALSE,1,1,2,ay5pmpeNcwqHJ8JBH,2qiHdJgL4WQe5qrHQ,1,1,5,21.37,3.524
1pm,FALSE,1,1,2,ay5pmpeNcwqHJ8JBH,tWA9ZxSnKpZyWwYsQ,1,1,5,20.77,2.924
1pm,FALSE,1,1,3,ay5pmpeNcwqHJ8JBH,tWA9ZxSnKpZyWwYsQ,1,1,5,23.388,1.821
1pm,FALSE,1,1,3,ay5pmpeNcwqHJ8JBH,2qiHdJgL4WQe5qrHQ,1,1,5,26.282,4.715
1pm,FALSE,1,1,4,ay5pmpeNcwqHJ8JBH,tWA9ZxSnKpZyWwYsQ,1,1,5,30.802,2.991
1pm,FALSE,1,1,4,ay5pmpeNcwqHJ8JBH,2qiHdJgL4WQe5qrHQ,1,1,5,30.807,2.996
1pm,FALSE,1,1,5,ay5pmpeNcwqHJ8JBH,tWA9ZxSnKpZyWwYsQ,1,1,5,34.826,1.948
1pm,FALSE,1,1,5,ay5pmpeNcwqHJ8JBH,2qiHdJgL4WQe5qrHQ,1,1,5,36.433,3.555
