,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
173922,1pm,False,10,1,1,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,3.784,3.8089999999999997
173923,1pm,False,10,1,1,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,9.309,9.334
173924,1pm,False,10,1,2,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,12.806,1.255
173925,1pm,False,10,1,2,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,16.836,5.285
173926,1pm,False,10,1,3,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,23.755,5.726
173927,1pm,False,10,1,3,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,18.769000000000002,0.74
173928,1pm,False,10,1,4,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,27.717,1.113
173929,1pm,False,10,1,4,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,31.314,4.71
173930,1pm,False,10,1,5,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,35.963,1.44
173931,1pm,False,10,1,5,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,40.718,6.195
173932,1pm,False,10,1,6,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,44.617,1.9340000000000002
173933,1pm,False,10,1,6,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,44.535,1.8519999999999999
173934,1pm,False,10,1,7,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,59.157,11.526
173935,1pm,False,10,1,7,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,48.86,1.229
173936,1pm,False,10,1,8,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,1,5,62.123999999999995,1.409
173937,1pm,False,10,1,8,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,1,1,5,62.456,1.7409999999999999
173938,1pm,False,10,1,9,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,0,1,7,63.893,1.307
173939,1pm,False,10,1,9,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,1,0,1,63.805,1.219
173940,1pm,False,10,1,10,3QpBX8ZMrqwJkZsgF,PJmJgrqusFZ8KRShQ,0,0,3,69.805,5.631
173941,1pm,False,10,1,10,3QpBX8ZMrqwJkZsgF,GwfkQ6SGEuBj2RMoW,0,0,3,66.149,1.975
173942,1pm,False,10,1,1,gbKes9LgdFHGjwGhw,7SuwNkTzDH5sA5JDC,1,0,1,5.4639999999999995,5.48
173943,1pm,False,10,1,1,gbKes9LgdFHGjwGhw,dvv2yNXCzC6AYnn2K,0,1,7,5.5729999999999995,5.5889999999999995
173944,1pm,False,10,1,2,gbKes9LgdFHGjwGhw,dvv2yNXCzC6AYnn2K,0,0,3,6.425,0.68
173945,1pm,False,10,1,2,gbKes9LgdFHGjwGhw,7SuwNkTzDH5sA5JDC,0,0,3,7.712999999999999,1.9680000000000002
173946,1pm,False,10,1,3,gbKes9LgdFHGjwGhw,7SuwNkTzDH5sA5JDC,0,0,3,11.719000000000001,1.3630000000000002
